Source,Target,Weight
观沙岭,八方山,2
洞井,湘府路,3
树木岭,香樟路,3
湘府路,香樟路,3
尖山,麓谷,3
田心东,大丰,3
谷山,八方山,3
尖山,谷山,3
红光镇,犀浦,3
东莞西,道滘,3
海口东,城西,3
深圳机场,深圳机场北,3
长安西,长安,3
东莞西,洪梅,3
花城街,花山镇,3
东莞西,望牛墩,3
龙丰,西湖东,3
樟木头东,银瓶,3
西平西,东城南,3
云山,西湖东,3
洞井,先锋,3
珠海北,唐家湾,3
观沙岭,谷山,3
横琴,横琴北,4
先锋,芙蓉南,4
长沙,树木岭,4
珠海长隆,横琴,4
横琴北,十字门,4
秀英,城西,4
谷山,麓谷,4
板塘,荷塘,4
中山,中山北,4
观沙岭,开福寺,4
大丰,株洲,4
观沙岭,尖山,4
三水北,狮山北,4
顺德,北滘,4
容桂,南头,4
寮步,松山湖北,4
松山湖北,大朗镇,4
常平南,大朗镇,4
常平东,常平南,4
惠环,陈江南,4
龙丰,惠环,4
八方山,尖山,4
四会,大旺,4
深圳机场北,福海西,4
福海西,沙井西,4
厚街,东莞港,4
中堂,望牛墩,4
西固,福利区,4
虎门北,虎门东,4
郫县西,郫县,4
步行街,彭州南,4
汤逊湖,庙山,4
狮山北,狮山,4
金阳,金阳南,4
湖潮东,芦官,4
党武,花溪大学城,4
云东海,大旺,4
离堆公园,迎宾路,4
党武,天河潭,4
狮岭,乐同,5
长流,秀英,5
清城,龙塘镇,5
小金口,云山,5
常平东,樟木头东,5
金阳,白云西,5
先锋,湘府路,5
寮步,东城南,5
金华镇,金阳南,5
花溪西,金华镇,5
银盏,龙塘镇,5
长沙,开福寺,5
厚街,虎门北,5
银瓶,沥林北,5
湖潮东,天河潭,5
暮云,芙蓉南,5
中堂,新塘南,5
花溪大学城,花溪南,5
鼎湖东,鼎湖山,5
鼎湖山,端州,5
深圳机场,福海西,5
花溪南,孟关,5
狮山,三水北,5
红光镇,郫县,5
古镇,小榄,5
安靖,犀浦,5
蒲江,朝阳湖,5
南头,小榄,5
汤逊湖,南湖东,5
新会,江门东,5
观沙岭,麓谷,5
昭山,荷塘,5
顺德,顺德学院,5
前山,明珠,5
八方山,开福寺,5
长安,沙井西,6
沥林北,陈江南,6
虎门东,长安西,6
孟关,双龙南,6
湘潭,板塘,6
金山园区,亭林,6
上海,上海西,6
花湖,黄石北,6
纸坊东,庙山,6
洪梅,东莞港,6
天河潭,芦官,6
亭林,叶榭,6
花溪大学城,天河潭,6
珠海,前山,6
花溪西,贵安,6
道滘,西平西,6
南朗,珠海北,6
株洲南,株洲,6
东莞西,中堂,6
白云西,白云北,6
白云西,金阳南,6
霍林郭勒,珠斯花,6
苏州园区,苏州,6
唐家湾,南朗,6
犀浦,郫县,6
彭州,步行街,6
深圳机场北,沙井西,6
白马北,内江东,6
郫县西,红光镇,6
党武,花溪南,6
常平南,松山湖北,6
贺胜桥东,山坡东,6
惠环,西湖东,6
崇州,羊马,6
开福寺,尖山,6
花都,乐同,6
白云机场北,花山镇,6
共青城,德安,6
新会,江门,6
江门东,古镇,6
咸阳西,咸阳,6
阳澄湖,昆山南,6
狮山,佛山西,6
四会,云东海,6
肇庆,端州,6
先锋,香樟路,6
胶州北,青岛机场,6
南翔北,上海西,6
威海,威海北,7
济宁北,济宁东,7
鼎湖东,四会,7
唐家湾,明珠,7
暮云,昭山,7
琼海,博鳌,7
沈阳,沈阳北,7
容桂,小榄,7
南朗,中山,7
天津,天津西,7
长沙,观沙岭,7
海口东,美兰,7
峨眉山,峨眉,7
广州南,北滘,7
云东海,三水北,7
尖峰,黄流,7
孝感东,毛陈,7
昭山,板塘,7
新津,新津南,7
贺胜桥东,横沟桥东,7
常平南,樟木头东,7
北滘,顺德学院,7
万宁,神州,7
寮步,西平西,7
黄冈西,华容东,7
淮南南,水家湖,7
贵阳东,洛湾三江,7
大冶北,黄石北,7
新都东,青白江东,7
苏州新区,苏州,7
春申,新桥,7
咸宁南,横沟桥东,7
长安,虎门东,7
樟木头,常平,7
珠海,十字门,7
诏安,饶平,7
佛山西,狮山北,7
无锡新区,无锡,7
长沙,八方山,7
温江,崇州,7
江门,江门东,7
暮云,先锋,7
绛帐,杨陵,7
大足南,荣昌北,7
