start_station_name,end_station_name,running_time,train_no
佳木斯,鹤立,25,C101
鹤立,鹤岗,26,C101
鹤岗,佳木斯,46,C102
佳木斯,方正,74,C102
方正,胜利镇,30,C102
胜利镇,哈尔滨,51,C102
哈尔滨,宾州,34,C103
宾州,方正,46,C103
方正,依兰,37,C103
依兰,佳木斯,42,C103
佳木斯,鹤立,25,C103
鹤立,鹤岗,26,C103
鹤岗,鹤立,25,C104
鹤立,佳木斯,25,C104
佳木斯,哈尔滨,147,C104
鹤岗,佳木斯,47,C106
佳木斯,宾州,116,C106
宾州,哈尔滨,35,C106
哈尔滨,双龙湖,67,C107
双龙湖,方正,13,C107
方正,佳木斯,75,C107
佳木斯,鹤岗,47,C107
哈尔滨,方正,76,C109
方正,依兰,37,C109
依兰,佳木斯,42,C109
佳木斯,鹤岗,47,C109
鹤岗,鹤立,25,C110
鹤立,佳木斯,25,C110
佳木斯,依兰,42,C110
依兰,哈尔滨,110,C110
哈尔滨,方正,76,C111
方正,依兰,37,C111
依兰,佳木斯,42,C111
佳木斯,鹤立,25,C111
鹤立,鹤岗,26,C111
鹤岗,佳木斯,46,C112
佳木斯,哈尔滨,148,C112
哈尔滨,佳木斯,147,C113
鹤岗,鹤立,25,C114
鹤立,佳木斯,25,C114
北京,北戴河,133,C115
北戴河,秦皇岛,17,C115
秦皇岛,北戴河,16,C116
北戴河,唐山北,60,C116
唐山北,蓟州,30,C116
蓟州,北京,52,C116
北京南,北京丰台,9,C125
北京丰台,霸州西,53,C125
霸州西,白沟,13,C125
白沟,白洋淀,11,C125
白洋淀,徐水,13,C125
徐水,保定,15,C125
保定,徐水,15,C126
徐水,白洋淀,14,C126
白洋淀,白沟,11,C126
白沟,霸州西,13,C126
霸州西,北京丰台,61,C126
北京丰台,北京南,11,C126
北京,北京南,11,C127
北京南,北京丰台,9,C127
北京丰台,白沟,60,C127
白沟,白洋淀,11,C127
白洋淀,保定,26,C127
保定,白洋淀,25,C128
白洋淀,北京丰台,81,C128
北京丰台,北京南,12,C128
北京南,北京,17,C128
北京,北京南,10,C129
北京南,北京丰台,9,C129
北京丰台,白沟,64,C129
白沟,白洋淀,13,C129
白洋淀,保定,26,C129
保定,白洋淀,27,C130
白洋淀,白沟,12,C130
白沟,霸州西,13,C130
霸州西,北京丰台,53,C130
北京丰台,北京南,10,C130
北京南,北京,13,C130
北京,蓟州,44,C131
蓟州,唐山北,34,C131
唐山北,唐山,24,C131
