start_station_name,end_station_name,running_time,train_no
观沙岭,八方山,2,S7802
洞井,湘府路,3,S6812
树木岭,香樟路,3,S7963
湘府路,香樟路,3,S7962
尖山,麓谷,3,S6810
田心东,大丰,3,S7961
谷山,八方山,3,S6811
尖山,谷山,3,S6811
红光镇,犀浦,3,C6132
东莞西,道滘,3,C7553
海口东,城西,3,S8154
深圳机场,深圳机场北,3,C6706
长安西,长安,3,C6705
东莞西,洪梅,3,C6705
花城街,花山镇,3,C4884
东莞西,望牛墩,3,C6706
龙丰,西湖东,3,C7533
樟木头东,银瓶,3,C7533
西平西,东城南,3,C7533
云山,西湖东,3,C7532
洞井,先锋,3,S7979
珠海北,唐家湾,3,C7677
观沙岭,谷山,3,S7810
横琴,横琴北,4,C7782
先锋,芙蓉南,4,S6929
长沙,树木岭,4,S7953
珠海长隆,横琴,4,C7782
横琴北,十字门,4,C7782
秀英,城西,4,S8022
谷山,麓谷,4,S7810
板塘,荷塘,4,S6914
中山,中山北,4,C7798
观沙岭,开福寺,4,S6801
大丰,株洲,4,S7953
观沙岭,尖山,4,G6520
三水北,狮山北,4,C6896
顺德,北滘,4,C7726
容桂,南头,4,C7697
寮步,松山湖北,4,C7501
松山湖北,大朗镇,4,C7501
常平南,大朗镇,4,C7508
常平东,常平南,4,C7508
惠环,陈江南,4,C7508
龙丰,惠环,4,C7508
八方山,尖山,4,S7802
四会,大旺,4,C6896
深圳机场北,福海西,4,C6704
福海西,沙井西,4,C6704
厚街,东莞港,4,C6704
中堂,望牛墩,4,C6705
西固,福利区,4,C618
虎门北,虎门东,4,C6707
郫县西,郫县,4,C6122
步行街,彭州南,4,C6088
汤逊湖,庙山,4,D5798
狮山北,狮山,4,C6894
金阳,金阳南,4,C5806
湖潮东,芦官,4,C5807
党武,花溪大学城,4,C5814
云东海,大旺,4,C6851
离堆公园,迎宾路,4,C5570
党武,天河潭,4,C5883
狮岭,乐同,5,C4808
长流,秀英,5,S8010
清城,龙塘镇,5,C4868
小金口,云山,5,C7540
常平东,樟木头东,5,C7537
金阳,白云西,5,C5881
先锋,湘府路,5,S7990
寮步,东城南,5,C7564
金华镇,金阳南,5,C5883
花溪西,金华镇,5,C5883
银盏,龙塘镇,5,C4862
长沙,开福寺,5,D7462
厚街,虎门北,5,C6717
银瓶,沥林北,5,C7537
湖潮东,天河潭,5,C5888
暮云,芙蓉南,5,S6910
中堂,新塘南,5,C6720
花溪大学城,花溪南,5,C5886
鼎湖东,鼎湖山,5,C6827
鼎湖山,端州,5,C6841
深圳机场,福海西,5,C6756
花溪南,孟关,5,C5872
狮山,三水北,5,C6851
红光镇,郫县,5,C6147
古镇,小榄,5,C7730
安靖,犀浦,5,C6137
蒲江,朝阳湖,5,C6639
南头,小榄,5,C7697
汤逊湖,南湖东,5,D5792
新会,江门东,5,C7206
观沙岭,麓谷,5,D7468
昭山,荷塘,5,S6917
顺德,顺德学院,5,C7635
前山,明珠,5,C7682
八方山,开福寺,5,S6811
长安,沙井西,6,C6743
沥林北,陈江南,6,C7555
虎门东,长安西,6,C6719
孟关,双龙南,6,C5820
湘潭,板塘,6,S6948
金山园区,亭林,6,S1616
上海,上海西,6,G8286
花湖,黄石北,6,D5884
纸坊东,庙山,6,D5884
洪梅,东莞港,6,C6713
天河潭,芦官,6,C5817
亭林,叶榭,6,S1608
花溪大学城,天河潭,6,C5815
珠海,前山,6,C7628
花溪西,贵安,6,C5816
道滘,西平西,6,C7555
南朗,珠海北,6,C7625
株洲南,株洲,6,S7962
东莞西,中堂,6,C6716
白云西,白云北,6,C5817
白云西,金阳南,6,C5818
霍林郭勒,珠斯花,6,K7536
苏州园区,苏州,6,G8258
唐家湾,南朗,6,C7620
犀浦,郫县,6,C6135
彭州,步行街,6,C6080
深圳机场北,沙井西,6,C6722
白马北,内江东,6,G8778
郫县西,红光镇,6,C6148
党武,花溪南,6,C5884
常平南,松山湖北,6,C7592
贺胜桥东,山坡东,6,D5796
惠环,西湖东,6,C7597
崇州,羊马,6,C6612
开福寺,尖山,6,D7464
花都,乐同,6,C4753
白云机场北,花山镇,6,C4766
共青城,德安,6,D6260
新会,江门,6,C6981
江门东,古镇,6,C7742
咸阳西,咸阳,6,C164
阳澄湖,昆山南,6,D2916
狮山,佛山西,6,C6864
四会,云东海,6,C6868
肇庆,端州,6,C6874
先锋,香樟路,6,S6996
胶州北,青岛机场,6,D8161
南翔北,上海西,6,G7031
威海,威海北,7,C6516
济宁北,济宁东,7,G6968
鼎湖东,四会,7,C6830
唐家湾,明珠,7,C7683
暮云,昭山,7,S6881
琼海,博鳌,7,C7438
沈阳,沈阳北,7,K348
容桂,小榄,7,C7685
南朗,中山,7,C7620
天津,天津西,7,G9416
长沙,观沙岭,7,G5900
海口东,美兰,7,C7450
峨眉山,峨眉,7,C6326
广州南,北滘,7,C7683
云东海,三水北,7,C6826
尖峰,黄流,7,C7420
孝感东,毛陈,7,D5798
昭山,板塘,7,S6921
新津,新津南,7,C6315
贺胜桥东,横沟桥东,7,D5794
常平南,樟木头东,7,C7593
北滘,顺德学院,7,C7695
万宁,神州,7,C7434
寮步,西平西,7,C7594
黄冈西,华容东,7,D7016
淮南南,水家湖,7,D3349
贵阳东,洛湾三江,7,C6367
大冶北,黄石北,7,D3266
新都东,青白江东,7,G2234
苏州新区,苏州,7,G7389
春申,新桥,7,S1601
咸宁南,横沟桥东,7,D5884
长安,虎门东,7,C6756
樟木头,常平,7,C7016
珠海,十字门,7,C7771
诏安,饶平,7,D3287
佛山西,狮山北,7,C6893
无锡新区,无锡,7,G7784
长沙,八方山,7,G5874
温江,崇州,7,C6611
江门,江门东,7,C7732
暮云,先锋,7,S6920
绛帐,杨陵,7,C164
大足南,荣昌北,7,G1756
虎门北,东莞港,7,C6732
绛帐,眉县东,7,C163
车墩,叶榭,7,S1613
怀柔北,雁栖湖,7,S522
新桥,车墩,7,S1617
登沙河,杏树屯,7,D7713
海宁西,临平南,7,D381
中川机场,兰州新区,7,C602
龙嘉,九台南,7,C1207
广汉北,青白江东,7,D1933
犀浦,郫县西,7,C6171
都江堰,青城山,7,C6171
狮岭,银盏,7,C4762
开福寺,麓谷,7,D7476
樟木头,东莞南,7,D7333
句容西,江宁,7,D2254
燕郊,大厂,7,G8823
长乐,长乐东,7,D6513
长乐南,长乐东,7,D6514
彭州,彭州南,7,C6074
芦官,贵安,7,C5885
党武,湖潮东,7,C5881
金阳,金华镇,7,C5886
济南,大明湖,7,T398
贵安,湖潮东,7,C5897
礼泉南,乾县,7,D9413
孟关,花溪大学城,7,C5815
花溪西,金阳南,7,C5811
芙蓉南,洞井,7,D7464
三亚,亚龙湾,8,C7410
花城街,花都,8,C4838
长沙,谷山,8,G5882
新乡东,卫辉南,8,G7934
冠豸山,杨源,8,C876
建湖,阜宁南,8,G8380
黄流,乐东,8,C7414
金华镇,贵安,8,C5818
当涂东,马鞍山东,8,D5642
海口,长流,8,S8109
毕节,大方,8,C5971
东莞西,西平西,8,C7595
密云,怀柔南,8,G7852
黄山北,歙县北,8,G7316
福田,深圳北,8,G6530
呼和浩特,呼和浩特东,8,D6774
广州南,顺德,8,C7737
峡江,新干东,8,G1386
武陟,修武西,8,G3192
福海西,长安,8,C6756
眉山东,彭山北,8,C5664
皮口,城子坦,8,D7717
凯北,卫星,8,K7154
西湖东,陈江南,8,C7592
无锡,惠山,8,G7036
丹阳,丹徒,8,G8266
彭山北,新津南,8,C5658
嘉兴南,嘉善南,8,D2212
花溪南,天河潭,8,C5807
明珠,珠海北,8,C7698
长山屯,查干湖,8,K7306
白云北,金阳,8,C5886
南京南,江宁,8,G7581
台山,开平南,8,C6963
灯塔,张台子,8,K2062
沙井西,长安西,8,C6722
长安西,虎门北,8,C6722
东莞港,东莞西,8,C6722
尚志南,一面坡北,8,D8519
南头,顺德学院,8,C7724
马鞍山东,江宁西,8,G7071
戚墅堰,常州,8,D352
黄冈东,黄冈西,8,D5762
通州,乔庄东,8,S107
北京,北京东,8,S109
南湖东,庙山,8,D5752
建桥,丰顺东,8,D7167
汤逊湖,纸坊东,8,C5001
畲江北,建桥,8,D7167
大冶北,花湖,8,D5746
章丘南,雪野,8,G5377
鼎湖东,端州,8,C6837
城子坦,花园口,8,D7713
西湖东,小金口,8,C7591
龙山北,来凤,8,G5878
长箐,冷坝,8,G2926
南翔北,安亭北,8,G7056
桂林北,桂林西,8,D1796
大兴机场,固安东,8,C2713
泰州,姜堰,8,D3092
横沟桥东,山坡东,8,D5884
三亚,凤凰机场,8,C7479
河池西,环江,8,D4108
中山北,南朗,8,C7625
长寿湖,长寿北,8,C6405
杨陵,武功,8,C164
亚布力西,苇河西,8,D7978
大邑,崇州,8,C6604
射阳,阜宁东,8,C3197
西来,蒲江,8,C3368
尖峰,金月湾,8,C7491
商洛,商洛北,8,C174
邛崃,西来,8,C3336
角美,漳州,8,D671
南靖,龙山镇,8,D6407
太阳升,立志,8,K48
天津,天津北,8,S904
新津,双流机场,9,G8766
杭州东,杭州南,9,D2287
滨海,塘沽,9,C2552
焦作,焦作西,9,C2810
阳新,白沙铺,9,D2226
延庆,八达岭长城,9,D6710
莱西,莱阳,9,G2686
安吉,广德南,9,G2558
惠阳,深圳坪山,9,D7414
白沙铺,大冶北,9,D2226
莱西,夏格庄,9,D2876
桐城南,桐城东,9,G8324
商丘,商丘东,9,G1980
湖州,长兴,9,D2114
平阳,瑞安,9,G7332
黄梅东,宿松东,9,G8398
磐安南,壶镇,9,C478
安溪东,南安北,9,C879
灌南,灌云,9,G8252
大邑,邛崃,9,C3330
丹徒,镇江,9,D3056
张家港,常熟,9,G3131
溧水,瓦屋山,9,G1379
杭州东,临平南,9,D2421
溧水,句容西,9,G282
昭山,芙蓉南,9,S6952
喜德西,冕宁,9,D851
水家湖,淮南东,9,G7428
长治东,长治南,9,G3131
海宁西,桐乡,9,G1228
滨海西,滨海北,9,G2606
阳澄湖,苏州,9,G7076
昆山南,苏州园区,9,D3137
随州南,随县,9,G9363
金山北,松江南,9,D3104
铜仁南,新晃西,9,G2167
淮南南,寿县,9,G7788
邹平,章丘北,9,G2090
仲恺,惠州北,9,G2704
成都南,成都东,9,D1970
深圳北,光明城,9,G1008
莒县,沂水,9,K1052
昆山南,安亭北,9,G7215
兴平,咸阳西,9,C164
罗江东,德阳,9,G8783
即墨北,城阳,9,G5292
福州南,长乐,9,D6569
大庆东,安达,9,G1262
福鼎,太姥山,9,D377
哈尔滨北,哈尔滨,9,D6922
玉田南,唐山西,9,D6625
揭阳机场,潮汕,9,D7179
洋县西,城固北,9,D1919
青莲,江油,9,D1920
齐齐哈尔,齐齐哈尔南,9,D6924
白洋淀,徐水东,9,G4279
庆盛,虎门,9,G6537
温岭,台州,9,D2290
中山北,小榄,9,C7682
顺德,容桂,9,C7733
平原东,禹城东,9,G2056
芜湖,芜湖北,9,G2026
江门东,小榄,9,C7724
朋普,竹园,9,D8718
青川,剑门关,9,D1718
泉州,惠安,9,D2328
德阳,广汉北,9,G8695
沈丘北,淮阳南,9,G6684
雅安,名山,9,C3416
太仓南,太仓,9,C3802
吉水西,吉安西,9,G2285
北京南,北京丰台,9,C129
临高南,福山镇,9,C7456
林盛堡,苏家屯,9,K7321
平川西,靖远北,9,D8941
永川东,大足南,9,G8762
高碑店东,涿州东,9,G6712
寿县,凤台南,9,G3180
榆树屯,昂昂溪,9,K7249
东花园北,八达岭长城,9,D1102
井店,涉县,9,K5203
东花园北,怀来,9,D6727
平顶山西,郏县,9,G6642
东莞南,光明城,9,G6321
暮云,荷塘,9,S6919
仙林,南京,9,G7118
