start_station_id,end_station_id,running_time,train_no
381,132,2,S7802
267,1093,3,S6812
907,1164,3,S7963
1093,1164,3,S7962
539,621,3,S6810
2066,249,3,S7961
380,132,3,S6811
539,380,3,S6811
426,1125,3,C6132
258,266,3,C7553
43,223,3,S8154
952,2019,3,C6706
1391,1390,3,C6705
258,1615,3,C6705
411,476,3,C4884
258,2102,3,C6706
1745,2143,3,C7533
2292,2237,3,C7533
2170,1434,3,C7533
2245,2143,3,C7532
267,1092,3,S7979
1281,2049,3,C7677
381,380,3,S7810
1625,1623,4,C7782
1092,338,4,S6929
22,907,4,S7953
1282,1625,4,C7782
1623,2025,4,C7782
1154,223,4,S8022
380,621,4,S7810
1375,1639,4,S6914
1313,2305,4,C7798
381,578,4,S6801
249,1332,4,S7953
381,539,4,G6520
1984,1983,4,C6896
1951,1359,4,C7726
1934,1856,4,C7697
1734,1985,4,C7501
1985,1456,4,C7501
1406,1456,4,C7508
209,1406,4,C7508
1598,1400,4,C7508
1745,1598,4,C7508
132,539,4,S7802
1961,1469,4,C6896
2019,1499,4,C6704
1499,1966,4,C6704
1600,1441,4,C6704
1316,2102,4,C6705
1099,333,4,C618
1611,1612,4,C6707
804,803,4,C6122
159,814,4,C6088
1011,726,4,D5798
1983,1986,4,C6894
556,560,4,C5806
405,620,4,C5807
291,480,4,C5814
2218,1469,4,C6851
613,1170,4,C5570
291,983,4,C5883
897,664,5,C4808
204,1154,5,S8010
817,1792,5,C4868
1108,2245,5,C7540
209,2292,5,C7537
556,170,5,C5881
1092,1093,5,S7990
1734,1434,5,C7564
516,560,5,C5883
483,516,5,C5883
2275,1792,5,C4862
22,578,5,D7462
1600,1611,5,C6717
2237,1765,5,C7537
405,983,5,C5888
735,338,5,S6910
1316,1134,5,C6720
480,482,5,C5886
1446,1447,5,C6827
1447,1481,5,C6841
952,1499,5,C6756
482,708,5,C5872
1986,1984,5,C6851
426,803,5,C6147
1570,2157,5,C7730
99,1125,5,C6137
788,226,5,C6639
1856,2157,5,C7697
1011,754,5,D5792
1104,1675,5,C7206
381,621,5,D7468
2307,1639,5,S6917
1951,1955,5,C7635
1912,1839,5,C7682
132,578,5,S6811
1390,1966,6,C6743
1765,1400,6,C7555
1612,1391,6,C6719
708,899,6,C5820
1131,1375,6,S6948
2406,2402,6,S1616
9,12,6,G8286
1599,1630,6,D5884
1276,726,6,D5884
1615,1441,6,C6713
983,620,6,C5817
2402,2405,6,S1608
480,983,6,C5815
1279,1912,6,C7628
483,364,6,C5816
266,2170,6,C7555
1852,1281,6,C7625
1334,1332,6,S7962
258,1316,6,C6716
170,162,6,C5817
170,560,6,C5818
446,1312,6,K7536
2027,961,6,G8258
2049,1852,6,C7620
1125,803,6,C6135
812,159,6,C6080
2019,1966,6,C6722
1370,1849,6,G8778
804,426,6,C6148
291,482,6,C5884
1406,1985,6,C7592
1631,919,6,D5796
1598,2143,6,C7597
238,1212,6,C6612
578,539,6,D7464
419,664,6,C4753
163,476,6,C4766
377,1426,6,D6260
1104,522,6,C6981
1675,1570,6,C7742
1157,1147,6,C164
2213,588,6,D2916
1986,342,6,C6864
1961,2218,6,C6868
1309,1481,6,C6874
1092,1164,6,S6996
1717,1896,6,D8161
770,12,6,G7031
1033,2094,7,C6516
1679,1680,7,G6968
1446,1961,7,C6830
2049,1839,7,C7683
735,2307,7,S6881
829,1350,7,C7438
71,72,7,K348
1934,2157,7,C7685
1852,1313,7,C7620
14,16,7,G9416
22,381,7,G5900
43,715,7,C7450
317,316,7,C6326
33,1359,7,C7683
2218,1984,7,C6826
1668,1608,7,C7420
1096,1816,7,D5798
2307,1375,7,S6921
1106,1109,7,C6315
1631,1595,7,D5794
1406,2292,7,C7593
1359,1955,7,C7695
2104,2021,7,C7434
1734,2170,7,C7594
1596,1626,7,D7016
458,887,7,D3349
29,666,7,C6367
300,1630,7,D3266
