station,city
北京北,北京
北京东,北京
北京,北京
北京南,北京
北京大兴,北京
北京西,北京
北京朝阳,北京
重庆北,重庆
重庆西,重庆
上海,上海
上海南,上海
上海虹桥,上海
上海西,上海
天津北,天津
天津,天津
天津南,天津
天津西,天津
长春,长春
长春西,长春
成都东,成都
成都南,成都
成都西,成都
长沙,长沙
长沙南,长沙
福州,福州
福州南,福州
钢城,济南
贵阳,贵阳
贵阳北,贵阳
贵阳东,贵阳
广州北,广州
广州东,广州
广州,广州
广州南,广州
哈尔滨北,哈尔滨
哈尔滨,哈尔滨
哈尔滨东,哈尔滨
哈尔滨西,哈尔滨
合肥北城,合肥
合肥,合肥
合肥南,合肥
呼和浩特东,呼和浩特
呼和浩特,呼和浩特
海口东,海口
海口,海口
杭州东,杭州
杭州,杭州
杭州南,杭州
济南,济南
济南东,济南
济南西,济南
昆明,昆明
昆明南,昆明
历城,济南
拉萨,拉萨
林盛堡,沈阳
莱芜北,济南
兰州,兰州
兰州新区,兰州
兰州西,兰州
南昌,南昌
南昌西,南昌
南京,南京
南京南,南京
南宁北,南宁
南宁东,南宁
南宁,南宁
南宁西,南宁
石家庄北,石家庄
石家庄东,石家庄
石家庄,石家庄
沈阳,沈阳
沈阳北,沈阳
沈阳南,沈阳
太原南,太原
太原,太原
武汉,武汉
武汉东,武汉
乌鲁木齐南,乌鲁木齐
乌鲁木齐,乌鲁木齐
吴圩机场,南宁
西安北,西安
西安,西安
西宁,西宁
雪野,济南
银川,银川
引镇,西安
章丘南,济南
郑州东,郑州
郑州航空港,郑州
郑州,郑州
郑州西,郑州
昂昂溪,齐齐哈尔
阿城北,哈尔滨
阿城,哈尔滨
安达,绥化
安德,成都
阿尔山,兴安
安吉,湖州
安靖,成都
安家,哈尔滨
安康,安康
阿克苏,阿克苏
阿克陶,阿图什
阿拉尔,阿克苏
阿里河,呼伦贝尔
阿勒泰,阿勒泰
安陆,孝感
安陆西,孝感
安庆,安庆
安庆西,安庆
安顺,安顺
鞍山,鞍山
安顺西,安顺
鞍山西,鞍山
安亭北,上海
安亭西,上海
安阳,安阳
安阳东,安阳
北安,黑河
博白,玉林
蚌埠南,蚌埠
