station_train_code,train_no
C31,7700000C3110
C32,7700000C3200
C40,7600000C4000
C41,7600000C4103
C44,7600000C4403
C45,7600000C4503
C46,7600000C4601
C48,7600000C4802
C49,7600000C4902
C51,7600000C5103
C52,7600000C5204
C53,7600000C5301
C55,7600000C5501
C56,7600000C5600
C57,7600000C5700
C58,7600000C5800
C59,7600000C5900
C61,7700000C6101
C62,7700000C6201
C65,7700000C6501
C67,7700000C6701
C71,7700000C7103
C72,7600000C7202
C101,020000C10101
C102,020000C10205
C103,010000C10300
C104,020000C10410
C105,010000C10503
C106,020000C10601
C107,010000C10701
C108,020000C10804
C109,010000C10905
C110,020000C11004
C111,010000C11103
C112,020000C11202
C113,010000C11310
C114,020000C11401
C115,240000C11501
C116,250000C11601
C125,240000C12504
C126,260000C12604
C127,240000C12704
C128,260000C12803
C129,240000C12901
C130,260000C13001
C131,240000C13102
C132,250000C13210
C135,240000C13502
C136,250000C13601
C149,270000C14900
C150,270000C15000
C151,270000C15100
C152,270000C15200
C153,270000C15300
C154,270000C15400
C155,270000C15500
C156,270000C15600
C157,270000C15700
C158,270000C15800
C159,270000C15900
C160,270000C16000
C161,410000C1610A
C162,410000C1620D
C163,410000C16306
C164,410000C16405
C165,410000C16509
C166,410000C16605
C167,410000C16702
C168,410000C16804
C169,410000C16902
C171,410000C17101
C173,410000C17301
C174,410000C17401
C177,410000C17701
C178,410000C17801
C181,4a0000C18108
C184,410000C18406
C185,4a0000C18506
C186,410000C18606
C187,4a0000C18704
C188,410000C18805
C193,570000C19303
C194,570000C19402
C195,4a0000C19508
C198,410000C19808
C199,4a0000C19908
C200,410000C20009
C201,4a0000C20105
C202,410000C20207
C208,410000C20808
C210,410000C21007
C213,4a0000C21301
C214,430000C21402
C215,430000C21507
C216,410000C21604
C222,410000C22208
C224,430000C22406
C225,240000C22502
C226,260000C22602
C227,240000C22702
C228,260000C22802
C231,410000C23106
C232,430000C23201
C235,410000C23506
C236,410000C23606
C238,410000C23802
C240,430000C24002
C243,410000C24301
C244,410000C24406
C246,250000C24604
C248,250000C24820
C252,250000C25201
C254,250000C25402
C256,250000C25600
C258,250000C25800
C260,250000C26000
C262,840000C26202
C266,840000C26606
C268,800000C26804
C270,840000C27010
C272,800000C27202
C274,840000C27404
C276,800000C27605
C278,840000C27807
C280,800000C28001
C282,840000C28209
C284,800000C28405
C286,840000C28605
C288,800000C28803
C290,840000C29005
C292,800000C29206
C301,800000C30105
C302,840000C30204
C303,800000C30305
C304,840000C30405
C305,800000C30501
C306,840000C30607
C307,800000C30705
C308,840000C30803
C309,800000C30905
C311,800000C31106
C312,840000C31203
C313,800000C31304
C316,840000C31603
C317,800000C31703
C318,840000C31805
C319,800000C31902
C320,840000C32006
C321,800000C32102
C322,840000C32201
C323,800000C32305
C332,840000C33204
C334,800000C33404
C336,840000C33603
C338,800000C33802
C340,800000C34000
C342,8c0000C34200
C344,800000C34401
C346,8c0000C34600
C348,800000C34803
C350,8c0000C35002
C351,800000C35105
C352,840000C35205
C354,840000C35404
C356,800000C35601
C358,8c0000C35801
C373,8c0000C37302
C374,8c0000C37402
C380,840000C38006
C382,840000C38206
C384,800000C3840D
C385,800000C38505
C386,840000C3860C
C389,840000C38903
C390,840000C39004
C391,840000C39105
C392,840000C39203
C393,840000C39303
C402,560000C40201
C403,550000C40300
C404,560000C40400
C405,550000C40501
C406,560000C40601
C411,550000C41101
C412,560000C41201
C413,550000C41301
C414,560000C41401
C418,540000C41800
C422,5f0000C42201
C424,540000C42400
C426,5f0000C42600
C430,5f0000C43000
C432,540000C43200
C433,540000C43641
C434,5f0000C43441
C438,5f0000C43841
C440,540000C44041
C462,550000C46200
C464,5f0000C46410
C466,550000C46610
D11,2400000D1130
D12,1200000D120Q
D13,2400000D1340
D14,1200000D140F
D15,2400000D1520
D16,1200000D1630
D17,2400000D1710
D20,1500000D2000
D21,2400000D2120
D22,1500000D2200
D27,2500000D2705
D28,0h00000D280S
D55,8d00000D5540
D56,9300000D560D
D083,6b0000D08300
D112,040000D1120M
D114,1c0000D1140I
D116,0h0000D11608
D118,1c0000D11808
D119,110000D11904
D120,030000D12006
D121,110000D12107
D122,020000D12204
D124,0h0000D12404
D126,180000D12603
D128,040000D12805
D130,180000D13008
D132,020000D13210
D134,1c0000D13400
D135,180000D13510
D136,030000D13620
D151,180000D15103
D152,040000D15202
D162,020000D16200
D164,160000D16400
D166,030000D16600
D168,160000D16800
D201,710000D20104
D202,6c0000D20207
D203,710000D20306
D204,6c0000D20406
D205,710000D20504
D206,6c0000D20605
D207,710000D20707
D208,6c0000D20804
