station_train_code,train_no
K105,240000K10535
K106,650000K10623
K1002,41000K100234
K1004,77000K10040N
K1006,4d000K10060L
K1008,63000K10080C
K1009,1g000K10090E
K1010,01000K101004
K1019,57000K101944
K1020,65000K102009
K1021,1g000K10210I
K1022,02000K10220C
K1023,24000K102326
K1024,11000K102408
K1040,5e000K104006
K1041,5e000K104006
K1042,85000K104211
K1047,39000K10470H
K1048,55000K104833
K1050,5a000K105040
K1052,49000K10520G
K1054,49000K10540V
K1056,18000K10560X
K1058,76000K105850
K1060,88000K106030
K1062,0h000K10620E
K1064,77000K10640X
K1066,49000K106608
K1068,39000K10680I
K1071,24000K107142
K1072,59000K107281
K1073,47000K10730D
K1074,62000K10740J
K1077,77000K10770H
K1078,5e000K107891
K1079,39000K10790I
K1080,63000K108008
K1087,87000K108720
K1088,62000K108800
K1091,48000K109121
K1092,58000K109209
K1095,77000K109504
K1096,63000K109610
K111,550000K11108
K112,780000K1120D
K117,240000K11733
K118,760000K1180I
K1101,38000K11010K
K1102,55000K110262
K1107,55000K110712
K1108,40000K11080H
K1109,24000K110941
K1110,54000K111041
K1115,24000K111510
K1117,33000K11170W
K1127,55000K112791
K1128,42000K11280J
K1130,49000K11300I
K1132,41000K113218
K1136,49000K11360W
K1138,71000K113820
K1149,38000K114906
K1150,55000K115040
K1152,56000K115206
K1154,77000K11540G
K1156,55000K115607
K1158,76000K11580L
K1160,63000K11600T
K1162,49000K11620Q
K1171,77000K117102
K1173,67000K11730F
K1177,24000K117700
K1178,87000K117870
K1185,55000K1185A1
K1187,57000K118713
K1189,24000K118918
K1190,11000K11900M
K1191,54000K1191A0
K1192,71000K119210
K123,550000K12305
K124,420000K1240Z
K126,410000K12636
K128,110000K1280F
K1206,80000K12060U
K1208,65000K12080F
K1209,55000K120904
K1210,5n000K12100L
K1215,26000K12150M
K1216,49000K12160D
K1218,57000K12180P
K1220,5e000K12200A
K1227,12000K122711
K1228,02000K12280N
K1229,13000K12290M
K1230,04000K12300E
K1232,65000K12320I
K1234,71000K12340H
K1235,57000K123532
K1236,80000K12360Z
K1238,5a000K123890
K1240,38000K12400I
K1256,5a000K125606
K1258,76000K12580O
K1260,05000K126020
K1262,12000K126200
K1263,26000K12630V
K1264,56000K126408
K1270,77000K12700G
K1278,33000K127830
K1282,65000K12820J
K1284,47000K12840E
K1292,27000K129210
K1294,49000K129420
K1295,87000K129505
K1296,63000K12960R
K132,850000K13211
K134,650000K13403
K136,5f0000K13609
K138,800000K1380A
K1302,05000K13020R
K1303,24000K13030M
K1304,05000K13040D
K1310,88000K13100H
K1312,65000K13120B
K1326,57000K13260S
K1328,55000K13280B
K1331,87000K133113
K1332,55000K133235
K1348,65000K13480D
K1350,41000K13500S
K1352,93000K13520J
K1354,48000K1354F1
K1371,55000K1371C0
K1372,57000K13720I
K1373,55000K137351
K1374,64000K13740K
K1382,33000K13820P
K1384,0h000K13840F
K1392,49000K13920X
K1394,02000K139415
K1396,5a000K139661
K1398,27000K13980Q
K142,710000K1420Q
K144,760000K1440D
K149,550000K14950
K1438,5e000K143860
K1440,39000K144006
K1450,49000K145002
K1452,03000K14520H
K1453,24000K145324
K1456,26000K14560H
K1458,16000K145808
K15,4700000K150E
K150,710000K15010
K152,550000K15207
K154,380000K1540H
K157,240000K15733
K158,710000K15814
K1502,80000K15020S
K1503,80000K15020S
K1504,93000K15040I
K1505,4d000K15050I
K1506,55000K150630
K1511,47000K15110F
K1512,56000K151250
K1518,88000K15180F
K1520,12000K15200M
K1523,57000K15232B
K1524,71000K15240W
K1526,26000K152669
K1528,01000K15280K
K1533,25000K15330A
K1534,11000K15340G
K1556,55000K155606
K1558,71000K15580Q
K1565,13000K15650G
K1566,33000K15660T
K1572,18000K157207
K1574,41000K157407
K1596,38000K159605
K1598,49000K159804
K16,7700000K160D
K161,480000K16104
K166,5e0000K16604
K168,400000K16805
K1609,42000K16090E
K1610,80000K16100G
K1613,24000K161320
K1614,48000K161420
K1620,65000K16200K
K1622,25000K16221X
K1624,39000K16240B
K1626,48000K162632
K1656,65000K16560E
K1658,42000K16580L
K1665,57000K16650L
K1666,65000K166607
K1669,57000K16690W
K1670,5a000K167060
K1673,33000K16730T
K1674,41000K16740V
K1686,41000K16860R
K1688,33000K16880O
K177,380000K1770H
K178,880000K1780F
K179,240000K17910
K1785,24000K17850E
K1786,4k000K178604
K180,380000K18006
K188,550000K188D0
K1803,39000K18030G
K1804,71000K18040C
K1805,87000K180516
K1806,56000K180609
K1818,33000K181800
K1820,11000K182000
K190,120000K19021
K192,630000K19220
K194,760000K1940H
K195,330000K1950L
K196,760000K1960B
K1901,24000K19010T
K1902,47000K19020I
K1984,5f000K198430
K1986,18000K19860E
K21,2400000K212B
K22,7100000K2210
K27,2400000K270Z
K28,1200000K280J
K201,770000K2010F
K202,630000K2020L
K206,760000K20620
