station_train_code,train_no
T7,24000000T723
T8,76000000T80A
T9,24000000T92C
T10,7700000T100A
T18,0300000T1807
T25,5500000T2507
T26,7100000T260J
T35,2400000T3505
T36,5300000T3602
T39,2400000T390T
T40,0400000T400G
T41,2400000T4114
T42,4100000T420U
T47,2400000T472U
T48,0400000T480F
T49,2400000T490S
T50,4200000T500G
T56,4100000T560S
T58,2500000T580L
T77,5500000T7704
T78,7100000T780J
T81,5500000T8180
T82,7100000T820K
T95,3900000T9507
T96,6500000T960C
T101,550000T10180
T102,650000T1020K
T109,240000T10916
T110,550000T11070
T112,560000T11260
T114,850000T11487
T116,550000T11690
T118,850000T11853
T122,110000T1220L
T124,630000T1240H
T126,760000T1260D
T128,670000T1280O
T129,130000T1290M
T130,040000T1300R
T131,130000T13114
T132,550000T13200
T135,470000T1350C
T136,5e0000T13630
T142,5f0000T14200
T144,380000T14400
T145,240000T14524
T147,570000T1470S
T151,540000T15130
T152,630000T15207
T167,240000T1671I
T168,570000T1680N
T169,550000T16960
T170,630000T1700T
T171,570000T17141
T172,650000T1720D
T175,240000T1750Y
T176,880000T17609
T179,470000T1790F
T180,630000T18007
T182,390000T1820F
T184,010000T1840L
T197,380000T1970Q
T198,930000T1980I
T211,550000T21101
T212,650000T2120Q
T219,650000T2190A
T221,530000T22107
T231,240000T23110
T232,410000T2320F
T236,550000T23601
T238,770000T2380G
T242,530000T242D0
T244,040000T2440K
T246,390000T24630
T248,410000T24805
T252,250000T2520O
T254,630000T2540J
T261,130000T2610P
T262,030000T2620J
T269,410000T2690E
T270,940000T27007
T289,240000T2890S
T290,710000T29009
T297,240000T2971B
T298,030000T2980H
T302,120000T30210
T304,930000T30440
T307,570000T30707
T308,930000T3080B
T326,5e0000T32630
T328,380000T3280B
T329,130000T32902
T330,020000T33001
T331,130000T33103
T332,040000T33206
T369,130000T3690G
T370,630000T37009
T376,5a0000T37610
T378,420000T37804
T379,770000T37902
T380,930000T38006
T381,550000T38102
T382,800000T3820P
T396,490000T3960H
T398,650000T3980F
T582,710000T58201
T584,5e0000T58401
T4201,34000T42010C
T4202,33000T42020K
T4355,93000T435509
T4356,95000T435609
T5301,11000T530102
T5302,11000T530206
T5303,11000T530306
T5306,11000T530602
T5687,24000T56870P
T5688,25000T56880V
T6307,33000T63070I
T6308,33000T63080J
T6601,85000T660101
T6602,86000T660202
T6607,85000T660700
T6608,85000T660800
T6611,85000T661120
T6612,86000T661220
T6613,85000T661312
T6614,86000T661413
T7009,4a000T700904
T7010,41000T701005
T7577,47000T757609
T7578,47000T757808
T7775,5f000T777503
T7776,54000T777631
T7785,56000T778541
T7786,56000T7786L1
T8009,57000T800906
T8010,5n000T801003
T8302,63000T830206
T8304,64000T83040L
T8365,65000T83650G
T8367,67000T83670G
T9516,93000T951603
T9518,94000T95180B
T9520,93000T952008
T9522,94000T952208
T9526,93000T952607
T9528,94000T95280C
T9531,94000T953120
T9532,94000T953203
