station_train_code,train_no
Z1,24000000Z10K
Z12,1200000Z120E
Z14,6500000Z1407
Z15,2400000Z150E
Z16,0100000Z1630
Z17,2400000Z170H
Z18,0h00000Z1809
Z19,2400000Z190K
Z100,650000Z1000A
Z102,110000Z1020C
Z104,5n0000Z10408
Z105,470000Z1050C
Z106,930000Z10609
Z114,0h0000Z1140E
Z117,240000Z1170H
Z118,180000Z1180B
Z122,630000Z12230
Z124,760000Z1240C
Z126,5n0000Z1260A
Z128,850000Z12822
Z129,240000Z12905
Z130,850000Z13001
Z135,630000Z1380E
Z136,930000Z1360C
Z138,630000Z1380E
Z146,380000Z1460A
Z148,650000Z14807
Z149,240000Z1490K
Z150,780000Z15007
Z151,240000Z1510O
Z152,880000Z15209
Z156,5f0000Z15740
Z157,5f0000Z15740
Z158,0h0000Z15808
Z159,240000Z15909
Z160,470000Z16005
Z161,240000Z1611U
Z162,800000Z1620G
Z164,550000Z16404
Z165,550000Z16404
Z166,880000Z16609
Z168,630000Z16800
Z170,490000Z17007
Z172,550000Z17200
Z174,0h0000Z1740E
Z176,560000Z17607
Z178,0h0000Z1780G
Z179,240000Z1790Y
Z182,650000Z1820J
Z184,330000Z1840U
Z186,650000Z1860C
Z188,120000Z1880H
Z189,380000Z18908
Z190,630000Z19004
Z192,270000Z1920B
Z194,120000Z1940B
Z196,550000Z19606
Z198,270000Z19807
Z2,62000000Z206
Z20,4100000Z200O
Z21,2400000Z210P
Z22,8800000Z2207
Z23,3900000Z2308
Z24,6500000Z240B
Z25,3900000Z2507
Z27,5500000Z2705
Z29,2400000Z2900
Z201,240000Z2010W
Z202,6b0000Z20209
Z203,240000Z2030O
Z204,010000Z2040E
Z207,250000Z2060B
Z208,620000Z20807
Z211,240000Z21104
Z212,110000Z21202
Z216,550000Z21606
Z218,850000Z21842
Z225,240000Z22510
Z227,530000Z22711
Z230,650000Z2300G
Z232,880000Z23204
Z236,650000Z2360A
Z238,0h0000Z2380H
Z245,620000Z24509
Z247,550000Z24704
Z252,550000Z25207
Z254,410000Z2540I
Z257,550000Z25702
Z258,770000Z25807
Z264,630000Z2640K
Z266,880000Z2660M
Z267,330000Z2670Q
Z268,550000Z26809
Z272,490000Z2720C
Z274,880000Z27430
Z275,870000Z27514
Z277,240000Z2770E
Z282,560000Z28203
Z284,330000Z2840S
Z285,240000Z2850N
Z286,710000Z28605
Z288,800000Z2880F
Z290,5e0000Z29030
Z292,390000Z2920F
Z294,930000Z2940B
Z295,240000Z29500
Z297,640000Z29700
Z3,24000000Z30R
Z30,5f00000Z3070
Z31,3900000Z3108
Z32,5e00000Z3204
Z35,2400000Z3509
Z36,6300000Z3602
Z37,2400000Z370E
Z38,3900000Z3807
Z304,550000Z30404
Z306,930000Z30605
Z311,330000Z3110G
Z312,880000Z31206
Z322,760000Z3220B
Z324,880000Z32408
Z332,650000Z33207
Z334,760000Z33405
Z336,710000Z3360C
Z338,330000Z3380S
Z352,330000Z35209
Z356,470000Z35606
Z358,930000Z35805
Z366,540000Z36630
Z368,0h0000Z36807
Z376,550000Z37651
Z378,880000Z37807
Z384,110000Z3840E
Z390,760000Z39002
Z392,580000Z3920C
Z4,77000000Z401
Z40,5500000Z4003
Z42,9300000Z4208
Z43,2400000Z430D
Z44,4100000Z440G
Z45,3900000Z4505
Z47,5600000Z4780
Z49,2400000Z490O
Z4051,28000Z405100
Z4052,33000Z405200
Z4053,28000Z405300
Z4054,33000Z405400
Z4093,77000Z409300
Z4095,24000Z409508
Z4182,65000Z418205
Z4184,33000Z418401
Z4281,33000Z428103
Z4282,56000Z428211
Z5,24000000Z50K
Z50,7600000Z5010
Z52,5f00000Z5212
Z53,2400000Z5310
Z54,8000000Z540E
Z55,2400000Z550R
Z56,8500000Z5664
Z516,550000Z51600
Z518,180000Z51800
Z5001,11000Z500107
Z5002,11000Z500208
Z5003,11000Z500308
Z5004,11000Z500407
Z5005,11000Z50050A
Z5006,11000Z50060B
Z6,71000000Z605
Z61,2400000Z6100
Z62,1100000Z6200
Z69,2400000Z6914
Z601,240000Z6010H
Z602,470000Z60207
Z6121,41000Z612101
Z6122,41000Z612201
Z6123,41000Z612301
Z6124,41000Z612401
Z6125,41000Z612500
Z6126,41000Z612601
Z6205,85000Z620502
Z6206,86000Z620602
Z6516,93000Z651601
Z6518,94000Z651800
Z6541,33000Z65410C
Z6545,33000Z654505
Z6546,33000Z654601
Z6801,88000Z68010J
Z6802,88000Z68020F
Z6811,88000Z68110P
Z6812,88000Z68120O
Z70,9300000Z7005
Z77,2400000Z770N
Z78,7800000Z7805
Z83,2400000Z8308
Z84,0400000Z8404
Z86,5600000Z8600
Z88,4100000Z880L
Z89,2600000Z890E
Z8001,64000Z800100
Z8002,62000Z800200
Z8311,62000Z831100
Z8312,62000Z831204
Z8313,62000Z831303
Z8314,62000Z831404
Z8315,62000Z831500
Z8316,62000Z831604
Z8901,88000Z890102
Z8902,88000Z890202
Z90,6300000Z9002
Z92,5500000Z9200
Z94,4100000Z940M
Z95,2400000Z950K
Z96,7700000Z9604
Z98,6300000Z9800
Z99,5500000Z9903
Z918,880000Z9180A
Z9234,41000Z923403
Z9236,43000Z923601
Z9807,88000Z98070F
Z9808,88000Z98080B
