station_train_code,train_no
C101,020000C10101
C102,020000C10205
C103,010000C10300
C104,020000C10410
C105,010000C10502
C106,020000C10601
C107,010000C10701
C108,020000C10803
C109,010000C10905
C110,020000C11004
C111,010000C11103
C112,020000C11202
C113,010000C11310
C114,020000C11401
C115,240000C11501
C116,250000C11601
C125,240000C12504
C126,260000C12604
C127,240000C12704
C128,260000C12803
C129,240000C12901
C130,260000C13001
C131,240000C13102
C132,250000C13210
C135,240000C13502
C136,250000C13601
C149,270000C14900
C150,270000C15000
C151,270000C15100
C152,270000C15200
C153,270000C15300
C154,270000C15400
C155,270000C15500
C156,270000C15600
C157,270000C15700
C158,270000C15800
C159,270000C15900
C160,270000C16000
C161,410000C1610A
C162,410000C1620D
C163,410000C16306
C164,410000C16405
C165,410000C16509
C166,410000C16605
C167,410000C16702
C168,410000C16804
C169,410000C16902
C171,410000C17101
C173,410000C17301
C174,410000C17401
C177,410000C17701
C178,410000C17801
C181,4a0000C18108
C184,410000C18406
C185,4a0000C18506
C186,410000C18606
C187,4a0000C18704
C188,410000C18805
C193,570000C19303
C194,570000C19402
C195,4a0000C19508
C198,410000C19808
C199,4a0000C19908
C1001,11000C10010D
C1002,1c000C10020B
C1003,11000C10030B
C1004,1c000C10040A
C1005,1g000C100508
C1006,1c000C100608
C1007,11000C10070B
C1008,1c000C100808
C1009,11000C10090A
C1010,1c000C101030
C1011,11000C101109
C1012,1c000C10120C
C1015,11000C10150E
C1016,1c000C101609
C1017,11000C10170A
C1018,1c000C101807
C1019,11000C101906
C1020,1c000C10200D
C1021,11000C102110
C1023,11000C10230B
C1024,1c000C10240F
C1025,11000C10250A
C1026,1c000C10260A
C1027,11000C10270B
C1028,1c000C102806
C1037,18000C103707
C1040,1c000C104002
C1041,11000C104109
C1042,1c000C10420A
C1043,11000C104309
C1045,11000C10450V
C1046,1c000C10460X
C1047,11000C10470A
C1048,1c000C10480A
C1049,11000C10490C
C1050,1c000C10500K
C1051,11000C10510X
C1052,1c000C10520Z
C1053,11000C105315
C1054,1c000C105417
C1055,1g000C10550W
C1056,1c000C10561A
C1057,11000C10570Y
C1058,1c000C10580Y
C1061,11000C106107
C1062,1c000C106206
C1102,12000C110203
C1104,16000C110402
C1106,12000C110604
C1108,16000C110810
C1110,12000C111010
C1112,16000C111203
C1116,16000C111620
C1118,12000C111820
C1120,16000C112005
C1126,12000C112603
C1128,16000C112803
C1130,12000C113003
C1134,12000C11340Q
C1136,16000C11360P
C1138,12000C11380L
C1140,16000C11400M
C1152,16000C115201
C1154,12000C115402
C1155,12000C115801
C1156,16000C115610
C1160,16000C116001
C1162,12000C116210
C1165,1k000C116501
C1166,12000C116610
C1173,16000C117203
C1174,12000C117403
C1176,16000C117602
C1178,12000C117802
C1180,16000C118003
C1201,11000C120100
C1202,18000C120208
C1203,1g000C120305
C1204,18000C120404
C1205,11000C12050C
C1206,18000C120607
C1207,11000C120705
C1208,1c000C12080B
C1209,11000C120905
C1210,18000C121006
C1211,11000C121105
C1212,18000C121207
C1213,11000C121304
C1215,11000C121504
C1216,18000C121606
C1217,11000C121705
C1218,18000C121805
C1219,11000C121908
C1220,18000C122008
C1221,11000C122105
C1222,18000C12220C
C1223,11000C122306
C1224,18000C12240B
C1225,11000C122504
C1226,18000C122607
C1227,11000C122707
C1228,18000C122802
C1229,11000C122908
C1230,18000C123006
C1232,18000C123204
C1233,11000C12330E
C1243,11000C124306
C1248,18000C124805
C1250,18000C125003
C1252,18000C125209
C1264,1c000C12640B
C1301,18000C130104
C1303,11000C130307
C1305,18000C130504
C1307,11000C130706
C1309,18000C130903
C1311,11000C131105
C1313,18000C131301
C1315,11000C131501
C1317,18000C131700
C1319,11000C131900
C1325,18000C13250A
C1327,11000C13270V
C200,410000C20009
C201,4a0000C20105
C202,410000C20207
C208,410000C20810
C2001,24000C20011F
C2002,25000C20020T
C2003,24000C20030S
C2004,25000C20040J
C2005,24000C200512
C2006,25000C200618
C2007,24000C200719
C2008,25000C200819
C2009,24000C200918
C2010,25000C20101D
C2011,24000C201116
C2012,25000C20121L
C2013,24000C20130S
C2014,25000C20140F
C2015,24000C20150R
C2016,25000C201615
C2017,24000C20170N
C2018,25000C20180N
C2019,24000C20190L
C2020,25000C20200Q
C2021,24000C202117
C2022,25000C20220M
C2023,24000C20230R
C2024,25000C20241E
C2025,24000C20250L
C2026,25000C20260M
C2027,24000C202719
C2028,25000C20280V
C2029,24000C20290Z
C2030,25000C20300H
C2031,24000C20310P
C2032,25000C20320N
C2033,24000C20330X
C2034,25000C20340Q
C2035,24000C20350K
C2036,25000C203613
C2037,24000C20370M
C2038,25000C20380M
C2039,24000C20390J
C2040,25000C20400M
C2041,24000C20410N
C2042,25000C20420O
C2043,24000C20430U
C2044,25000C204415
C2045,24000C204525
C2046,25000C20460O
C2047,24000C20470O
C2048,25000C20480U
C2049,24000C20490M
C2050,25000C20500P
C2051,24000C20510N
C2052,25000C20520T
C2053,24000C20530Q
C2054,25000C20540P
C2055,24000C20550Z
C2056,25000C20560I
C2057,24000C20570M
C2058,25000C20581A
C2059,24000C205913
C2060,25000C20600J
C2061,24000C20610P
C2062,25000C20620Q
C2063,24000C20630O
C2064,25000C20640M
C2065,24000C20650N
C2066,25000C20660M
C2067,24000C20670J
C2068,25000C20680U
C2069,24000C206917
C2070,25000C20701O
C2071,24000C20710R
C2072,25000C207220
C2073,24000C20730I
C2074,25000C20740F
C2076,25000C20760M
C2077,24000C20770H
C2078,25000C20780T
C2079,24000C20791N
C2080,25000C20800I
C2081,24000C20811F
C2082,25000C20821L
C2083,24000C20830J
C2084,25000C20841J
C2085,24000C20850O
C2086,25000C20860J
C2087,24000C20870R
C2088,25000C20881B
C2089,24000C208927
C2090,25000C209011
C2091,24000C20910U
C2092,25000C20920I
C2093,24000C20930O
C2095,24000C20950I
C2096,25000C20960N
C2097,24000C20970V
C210,410000C21007
C213,4a0000C21301
C214,430000C21402
C215,430000C21506
C216,410000C21604
C222,410000C22208
C224,430000C22406
C225,240000C22500
C226,260000C22600
C227,240000C22700
C228,260000C22800
C2201,24000C22010Q
C2202,25000C22020N
C2203,24000C22030O
C2204,25000C220400
C2205,24000C22050N
C2206,25000C22060J
C2207,24000C220700
C2208,25000C22080L
C2209,24000C22090R
C2210,25000C22100N
C2211,24000C22110M
C2212,25000C22120K
C2213,24000C22130S
C2214,25000C22140G
C2215,24000C221500
C2216,25000C22160L
C2217,24000C22170K
C2218,25000C22180J
C2219,24000C221920
C2220,25000C22200N
C2221,24000C22210N
C2222,25000C22220J
C2223,24000C222310
C2224,25000C222400
C2225,24000C22250E
C2226,25000C22260I
C2227,24000C22270N
C2228,25000C222800
C2229,24000C222900
C2230,25000C22300Q
C2231,24000C22310J
C2232,25000C22320K
C2233,24000C22330O
C2234,25000C223400
C2235,24000C223500
C2236,25000C223600
C2237,24000C223700
C2238,25000C223800
C2239,24000C22390O
C2240,25000C22400H
C231,410000C23106
C232,430000C23201
C235,410000C23506
C236,410000C23606
C238,410000C23802
C2301,25000C230109
C2302,25000C230209
C2303,25000C23030U
C2304,25000C23040U
C2319,24000C231900
C2320,25000C232001
C240,430000C24002
C243,410000C24301
C244,410000C24406
C246,250000C24604
C248,250000C24820
C252,250000C25201
C254,250000C25402
C256,250000C25600
C258,250000C25800
C2551,24000C255103
C2552,25000C255203
C2553,24000C255303
C2554,25000C255402
C2555,24000C255503
C2556,25000C255603
C2557,24000C255704
C2558,25000C255802
C2559,24000C255902
C2560,25000C256002
C2561,24000C256102
C2562,25000C256203
C2563,24000C256303
C2564,25000C256402
C2565,24000C256502
C2566,25000C256602
C2567,24000C256704
C2568,25000C256803
C2569,24000C256903
C2570,25000C257003
C2571,24000C257103
C2572,25000C257203
C2573,24000C257302
C2574,25000C257402
C2575,24000C25750M
C2576,25000C257602
C2577,24000C257702
C2578,25000C257803
C2579,24000C257902
C2580,25000C25800R
C2581,24000C25810A
C2582,25000C25820B
C2583,24000C25830A
C2584,25000C258408
C2585,24000C25850C
C2586,25000C258609
C2587,24000C25870A
C2588,25000C25880B
C2589,24000C25890A
C2590,25000C25900A
C2591,24000C259109
C2592,25000C259209
C2593,24000C259308
C2594,25000C259409
C2595,24000C259507
C2596,25000C25960J
C2597,24000C259707
C2598,25000C259805
C2599,24000C259902
C260,250000C26000
C262,840000C26202
C266,840000C26606
C268,800000C26804
C2600,25000C260000
C2601,24000C26010P
C2602,25000C260201
C2603,24000C26030Q
C2604,25000C260401
C2605,24000C260504
C2606,25000C26060W
C2607,24000C26070R
C2608,25000C260807
C2609,24000C26090W
C2610,25000C26100N
C2611,24000C26111R
C2612,25000C26121W
C2613,24000C26130Q
C2614,25000C26140H
C2615,24000C26150Y
C2616,25000C26161E
C2617,24000C261704
C2618,25000C26180O
C2619,24000C261904
