station_train_code,train_no
D1001,24000D100108
D1002,33000D100205
D1003,24000D100306
D1004,33000D100402
D1005,24000D100504
D1006,33000D100608
D1007,24000D10070A
D1008,33000D100804
D1009,24000D100905
D1011,24000D10110A
D1012,33000D101205
D1013,24000D101303
D1014,33000D101404
D1015,24000D101504
D1016,33000D101608
D1017,24000D101704
D1018,33000D101804
D1019,24000D10190A
D1021,24000D102104
D1022,33000D102203
D1027,24000D102701
D1028,33000D102802
D1071,24000D107103
D1072,33000D107205
D1073,24000D107306
D1074,33000D107405
D1075,24000D107504
D1076,33000D107604
D1077,24000D107700
D1078,33000D107800
D1091,24000D109102
D1092,36000D109204
D11,2400000D1130
D112,040000D1120M
D114,1c0000D1140I
D116,0h0000D11608
D118,1c0000D11808
D119,110000D11904
D1101,24000D110104
D1102,28000D110202
D1103,24000D110305
D1104,28000D110404
D1105,24000D110505
D1106,28000D110601
D1107,24000D110703
D1108,28000D110802
D1109,24000D110904
D1110,28000D111011
D1111,24000D111103
D1112,28000D111202
D1113,24000D111303
D1114,28000D111403
D1115,24000D111505
D1116,28000D111602
D1117,24000D111703
D1118,28000D111810
D1119,24000D111902
D1120,28000D112012
D1121,24000D112104
D1122,28000D112203
D1123,24000D112310
D1124,28000D112410
D12,1200000D120Q
D120,030000D12006
D121,110000D12107
D122,020000D12204
D124,0h0000D12404
D126,180000D12603
D128,040000D12805
D13,2400000D1340
D130,180000D13008
D132,020000D13210
D134,1c0000D13400
D135,180000D13510
D136,030000D13620
D14,1200000D140F
D15,2400000D1520
D151,180000D15103
D152,040000D15202
D16,1200000D1630
D162,020000D16200
D164,160000D16400
D166,030000D16600
D168,160000D16800
D1601,26000D16010A
D1602,4p000D16020H
D1603,26000D16030L
D1604,4p000D160404
D1605,26000D16050I
D1606,4p000D160603
D1607,26000D16070G
D1608,4p000D16080G
D1611,26000D16110E
D1612,49000D161205
D1615,26000D16150H
D1616,49000D16160D
D1621,26000D16210F
D1622,49000D16220B
D1623,26000D16230F
D1624,49000D162409
D1625,26000D16250D
D1626,49000D16260A
D1632,49000D163203
D1634,27000D16340A
D1636,49000D16360D
D1638,27000D16381F
D1640,49000D164004
D1642,27000D164224
D1644,4p000D164409
D1646,27000D164609
D1648,49000D164808
D1650,27000D165007
D1652,49000D165203
D1654,27000D165403
D1661,26000D166105
D1662,5f000D166210
D1664,5f000D166402
D1666,27000D166601
D1668,55000D166810
D1670,27000D167002
D1671,49000D167410
D1672,8d000D167202
D1676,4f000D167604
D1678,49000D167801
D1683,65000D168306
D1685,57000D168500
D1687,65000D168701
D1689,57000D168901
D1691,65000D169101
D1693,57000D169303
D1697,57000D169706
D1698,65000D169501
D17,2400000D1710
D1701,4f000D17010D
D1702,78000D170209
D1705,4f000D170510
D1706,78000D170608
D1711,27000D171100
D1713,77000D171300
D1717,27000D171700
D1718,78000D171800
D1751,76000D175103
D1752,6c000D175202
D1753,76000D175305
D1754,6c000D175406
D1761,76000D176107
D1762,6y000D176204
D1763,76000D176308
D1764,6c000D176406
D1765,76000D176502
D1766,6c000D176603
D1779,76000D177920
D1780,71000D178000
D1781,76000D17810D
D1782,71000D17820D
D1785,76000D17850D
D1786,71000D17860A
D1791,76000D179106
D1793,77000D179308
D1794,71000D17940B
D1796,71000D179608
D1797,77000D179706
D1798,73000D179809
D1801,76000D180105
D1806,6c000D18060F
D1810,6c000D18100B
D1812,76000D18120J
D1818,6c000D18180J
D1820,76000D182006
D1821,76000D182106
D1822,6c000D18220E
D1825,76000D18250D
D1826,6c000D18260A
D1833,77000D183301
D1834,6c000D183409
D1841,77000D184101
D1842,6e000D184209
D1851,76000D18510C
D1852,6c000D185202
D1855,76000D185504
D1856,6c000D185602
D1859,76000D185904
D1860,6c000D186001
D1861,77000D186107
D1862,6c000D18620B
D1864,6c000D18640A
D1865,77000D186510
D1867,77000D18670C
D1868,6c000D186807
D1869,77000D186908
D1870,6c000D187009
D1871,77000D18710C
D1872,6c000D18720P
D1874,6c000D18740G
D1875,77000D187509
D1877,77000D187706
D1878,6c000D18780G
D1881,77000D18810C
D1882,6c000D18820D
D1901,27000D190108
D1902,76000D190209
D1903,27000D190308
D1904,76000D19040F
D1905,27000D190509
D1906,76000D19060A
D1907,27000D190700
D1908,76000D190800
D1911,4f000D19110J
D1912,76000D19120D
D1913,4f000D19130B
D1914,76000D19140C
D1915,4f000D19150A
D1917,4f000D191708
D1919,4f000D191909
D1920,76000D19200L
D1921,4f000D19210D
D1923,4f000D19230C
D1924,76000D192408
D1925,4f000D19250F
D1926,76000D192609
D1927,4f000D19270D
D1928,76000D19280E
D1930,76000D193007
D1931,4f000D19310G
D1932,76000D193208
D1933,4f000D19330K
D1934,76000D193405
D1935,4f000D193509
D1936,76000D193609
D1937,4f000D193708
D1938,76000D19380F
D1939,4f000D19390C
D1942,76000D194207
D1944,76000D19440A
D1946,76000D194608
D1947,4f000D19470D
D1948,76000D194809
D1949,4f000D19490F
D1950,76000D19500F
D1951,4f000D19510C
D1952,76000D195207
D1953,4f000D195301
D1954,76000D195401
D1957,87000D195700
D1958,76000D195800
D1959,4f000D195900
D1960,76000D196000
D1963,87000D196300
D1964,76000D196400
D1965,77000D196506
D1966,76000D196600
D1967,4f000D196710
D1970,78000D197000
D1971,4f000D197120
D1972,76000D197200
D1973,4f000D197300
D1975,4f000D197510
D1976,76000D197600
D1977,4f000D197700
D1979,4f000D19790D
D1980,76000D198000
D1983,4f000D19830H
D1985,77000D198504
D1986,76000D198600
D1987,4f000D19870C
D1989,77000D198904
D1991,4f000D19910E
D1997,87000D199702
D1998,76000D199800
D20,1500000D2000
D201,710000D20104
D202,6c0000D20207
D203,710000D20306
D204,6c0000D20406
D205,710000D20504
D206,6c0000D20605
D207,710000D20707
D208,6c0000D20805
D2001,77000D200100
D2003,4f000D200300
D2015,4f000D201500
D2016,71000D201600
D21,2400000D2120
D211,780000D21106
D212,6c0000D21208
D213,780000D21303
D214,6c0000D21404
D2105,47000D210500
D2107,5l000D210701
D2111,4e000D211100
D2112,59000D211200
D2113,5l000D211311
D2114,6i000D211402
D2116,6c000D211601
D2118,58000D211802
D2119,4e000D211900
D2120,59000D212000
D2121,47000D212103
D2122,5l000D212203
D2123,4p000D212304
D2124,5l000D212402
D2128,49000D212801
D2132,5l000D213230
D2134,49000D213405
D2136,5l000D213610
D2138,49000D213802
D2140,5l000D214030
D2142,49000D214201
D2145,49000D214510
D2146,5l000D214602
D2152,5l000D215200
D2154,49000D215402
D2156,59000D215603
D2158,42000D215803
D2160,5e000D216000
D2161,4e000D216102
D2163,5l000D216310
D2177,56000D217720
D2178,42000D217801
D2179,4e000D217903
D2180,59000D218010
D2181,4e000D218103
D2182,59000D218204
D2185,54000D218500
D2186,42000D218610
D2188,56000D218807
D2190,39000D21900C
D2192,56000D219260
D2194,42000D219420
D2196,5e000D219609
D2198,39000D21980B
D22,1500000D2200
D221,710000D22100
D222,6c0000D22200
D223,710000D22301
D224,6c0000D22400
D225,710000D22500
D226,6c0000D22600
D227,710000D22701
D228,6c0000D22800
D2201,56000D220100
D2202,5u000D220200
D2206,5l000D220603
D2208,76000D22080F
D2212,5q000D221202
D2214,77000D22140G
D2216,5l000D221602
D2218,77000D22180B
D2222,56000D222207
D2224,76000D22240G
D2226,58000D22260T
D2228,77000D22280H
D2232,5n000D22320Y
D2234,77000D22340K
D2236,57000D22360W
D2238,76000D22380C
