station_train_code,train_no
G10,5l00000G1004
G100,6x0000G10005
G101,240000G1010Y
G102,5l0000G10280
G103,240000G10335
G104,5l0000G10491
G105,240000G1050R
G106,5l0000G106E0
G107,240000G1070S
G108,5q0000G10800
G109,240000G1093M
G1001,4e000G10010J
G1003,4e000G10030M
G1004,6i000G10040F
G1005,4e000G10050U
G1006,6i000G10060F
G1007,4e000G10070H
G1008,6i000G10080K
G1009,4e000G10090K
G1010,6i000G10100L
G1011,4e000G10110E
G1012,6i000G10120D
G1013,4e000G10130I
G1014,6i000G10140H
G1016,6i000G10160A
G1019,4e000G10190B
G1020,39000G102001
G1021,4e000G10210H
G1023,6j000G102302
G1028,6i000G102806
G1030,42000G103002
G1032,6i000G10320G
G1034,42000G10340E
G1036,6i000G103606
G1040,6i000G104002
G1042,4r000G104204
G1045,24000G104503
G1047,24000G104701
G1048,47000G104801
G1049,24000G104902
G1050,4p000G105000
G1053,24000G105303
G1054,4p000G105400
G1061,24000G106105
G1062,49000G106204
G1063,24000G106304
G1064,49000G106420
G1065,24000G106505
G1066,49000G106602
G1067,24000G106709
G1068,49000G106801
G1069,24000G10690B
G1070,49000G107003
G1071,24000G107108
G1072,49000G107204
G1073,24000G107304
G1074,49000G107402
G1075,24000G107502
G1076,49000G107601
G1077,24000G107705
G1078,49000G107801
G1079,24000G107904
G1080,49000G108001
G1083,24000G108305
G1084,49000G108404
G1085,24000G10850A
G1086,49000G108603
G1087,24000G108709
G1088,49000G108803
G1089,24000G108907
G1090,49000G109002
G1091,24000G109103
G1092,49000G109204
G1094,49000G109403
G1099,24000G109905
G11,2400000G110N
G110,5l0000G110D1
G111,240000G1111G
G112,5l0000G112B0
G113,240000G1131B
G114,5l0000G11401
G115,240000G11524
G116,5l0000G11600
G117,240000G1171C
G118,5l0000G11809
G119,240000G1190S
G1100,5f000G110010
G1102,6c000G11020S
G1103,4e000G11030P
G1104,6c000G11040U
G1105,4e000G11050G
G1106,6c000G11060X
G1107,4e000G11071H
G1109,4e000G11090J
G1110,6c000G11100I
G1111,4e000G111109
G1113,4e000G11130D
G1114,6c000G11140P
G1115,4e000G11150G
G1116,6c000G11161R
G1118,6c000G111808
G1119,4e000G111907
G1120,6c000G11200J
G1122,6c000G11220S
G1125,6j000G112500
G1132,6c000G113209
G1134,4r000G113401
G1138,42000G113801
G1140,6c000G11400J
G1142,42000G114203
G1152,6c000G115208
G1154,39000G115409
G1156,6c000G11560K
G1158,42000G115801
G1163,38000G116301
G1164,6c000G116407
G1169,38000G116901
G1170,6c000G117010
G1175,4e000G117510
G1176,67000G117600
G1182,56000G118201
G1184,6c000G118406
G1186,6i000G118601
G1188,3b000G118800
G1189,38000G118900
G1190,6i000G119000
G1191,38000G119102
G1192,6i000G119202
G12,5l00000G1206
G121,240000G12113
G122,5l0000G12200
G123,240000G12334
G124,5l0000G12404
G125,240000G1251S
G127,240000G12740
G128,550000G12810
G129,240000G12921
G1202,0h000G12020G
G1204,5l000G120451
G1206,0h000G12060P
G1208,49000G12080G
G1209,4p000G120901
G1210,5l000G121001
G1212,1g000G121206
G1214,5l000G1214B1
G1216,6c000G12160E
G1218,12000G12180B
G1222,12000G12220G
G1224,5e000G122492
G1226,12000G12260J
