station_train_code,train_no
S101,240000S10105
S102,240000S10210
S103,240000S10307
S104,240000S10404
S105,240000S10520
S106,240000S10630
S107,240000S10704
S108,240000S10805
S109,240000S10903
S110,240000S11002
S111,240000S11103
S112,240000S11204
S1002,55000S100201
S1003,55000S100300
S1004,55000S100400
S1005,55000S100500
S1006,55000S100600
S1007,55000S100700
S1008,55000S100800
S1009,55000S100900
S1010,55000S101000
S1011,55000S101100
S1012,55000S101200
S1013,55000S101300
S1014,55000S101400
S1015,55000S101500
S1016,55000S101600
S1017,55000S101700
S1018,55000S101800
S1021,55000S102100
S1023,55000S102300
S1024,55000S102400
S1025,55000S102500
S1026,55000S102600
S1027,55000S102700
S1028,55000S102800
S1029,55000S102900
S1030,55000S103000
S1032,55000S103200
S1033,55000S103300
S1034,55000S103400
S1035,55000S103500
S1036,55000S103600
S1202,55000S120200
S1203,55000S120300
S1205,55000S120500
S1601,55000S160100
S1602,55000S160200
S1603,55000S160300
S1605,55000S160500
S1606,55000S160600
S1607,55000S160700
S1608,55000S160800
S1609,55000S160900
S1610,55000S161000
S1611,55000S161100
S1612,55000S161200
S1613,55000S161300
S1614,55000S161400
S1615,55000S161500
S1616,55000S161600
S1617,55000S161700
S1618,55000S161800
S1619,55000S161900
S1620,55000S162000
S1621,55000S162100
S1622,55000S162200
S1623,55000S162300
S1624,55000S162400
S1625,55000S162500
S1626,55000S162600
S1627,55000S162700
S1628,55000S162800
S1629,55000S162900
S1630,55000S163000
S1631,55000S163100
S1632,55000S163200
S1633,55000S163300
S1634,55000S163400
S1635,55000S163500
S1636,55000S163600
S1640,55000S164000
S501,240000S50108
S502,240000S50230
S503,240000S50308
S504,240000S50409
S511,240000S51101
S512,240000S51203
S513,240000S51303
S514,240000S51420
S515,240000S51505
S516,240000S51605
S517,240000S51703
S518,240000S51802
S521,240000S52100
S522,240000S52200
S523,240000S52300
S524,240000S52400
S601,240000S60101
S602,240000S60204
S603,240000S60301
S604,240000S60401
S611,240000S61100
S612,240000S61201
S6801,6n000S680102
S6802,62000S680202
S6803,6n000S680302
S6804,62000S680406
S6805,6n000S680502
S6807,6n000S680702
S6809,6n000S680900
S6810,62000S681000
S6811,6n000S681101
S6812,62000S681205
S6854,62000S685401
S6855,62000S685501
S6856,62000S685605
S6857,62000S685701
S6858,62000S685801
S6859,62000S685901
S6860,62000S686005
S6881,6n000S688105
S6882,62000S688204
S6883,6n000S688304
S6902,62000S690207
S6903,62000S690306
S6905,62000S690509
S6906,62000S690607
S6907,62000S690706
S6908,62000S690806
S6909,62000S690907
S6910,62000S691006
S6911,62000S69110A
S6912,62000S691206
S6913,62000S69130A
S6914,62000S691406
S6915,62000S691506
S6916,62000S691609
S6917,62000S691706
S6918,62000S69180A
S6919,62000S691906
S6920,62000S692007
S6921,62000S692107
S6922,62000S692206
S6923,62000S692306
S6924,62000S692406
S6925,62000S692506
S6926,62000S692606
S6928,62000S692806
S6929,62000S692906
S6930,62000S693007
S6931,62000S693105
S6932,62000S693208
S6933,62000S693306
S6934,62000S693406
S6935,62000S693506
S6936,62000S693606
S6937,62000S693706
S6938,62000S693806
S6939,62000S693906
S6941,62000S694107
S6942,62000S694206
S6943,62000S694307
S6944,62000S694406
S6945,62000S694506
S6946,62000S694606
S6947,62000S694706
S6948,62000S694807
S6949,62000S694906
S6950,62000S69500A
S6951,62000S695107
S6952,62000S695206
S6953,62000S695306
S6954,62000S695407
S6955,62000S69550A
S6957,62000S695707
S6958,62000S695807
S6960,62000S69600B
S6962,62000S696207
S6963,62000S696306
S6964,62000S696406
S6965,62000S696506
S6967,62000S696703
S6968,62000S696806
S6971,62000S697106
S6975,62000S697502
S6976,62000S697603
S6977,62000S697702
